161.8,161.9,161.9,161.9,161.9,161.9,161.8,161.9,162.0,162.0,
162.0,162.0,162.0,162.0,162.0,162.0,162.1,162.1,162.1,162.1,
162.1,162.1,162.1,162.1,162.1,162.1,162.0,162.0,161.9,161.9,
161.9,161.9,161.9,161.9,161.9,162.0,162.1,162.2,162.3,162.4,
162.4,162.4,162.5,162.5,162.5,162.4,162.4,162.4,162.4,162.4,
162.4,162.4,162.4,162.4,162.5,162.6,162.5,162.5,162.5,162.5,
162.5,162.6,162.6,162.6,162.6,162.6,162.6,162.6,162.6,162.6,
162.6,162.6,162.6,162.6,162.6,162.6,162.6,162.6,162.5,162.5,
162.5,162.5,162.5,162.5,162.5,162.6,162.5,162.5,162.5,162.5,
162.5,162.5,162.4,162.3,162.2,162.2,162.2,162.2,162.1,162.1,
162.0,162.0,162.0,162.0,162.0,162.0,162.1,162.1,162.0,162.1,
162.1,162.1,162.1,162.1,162.2,162.2,162.2,162.2,162.2,162.3,
162.3,162.2,162.2,162.1,162.1,162.1,162.1,162.1,162.0,162.0,
161.9,161.9,161.9,161.9,161.9,161.9,161.9,161.9,161.9,161.9,
161.9,161.9,161.9,161.9,161.9,162.0,162.0,162.0,162.0,162.0,
162.0,162.0,162.0,162.0,161.9,161.9,161.9,161.9,161.9,161.9,
161.9,161.9,161.9,161.9,161.9,161.9,161.9,161.9,162.0,162.0,
161.9,161.9,161.9,161.9,161.9,161.9,161.9,161.9,161.9,162.0,
162.0,161.9,145.8,129.7,113.6,97.4,87.3,71.5,59.3,59.3,
59.4,75.6,91.8,107.9,124.1,139.8,149.9,162.2,162.2,162.2,
162.2,162.1,162.1,162.0,162.0,161.9,162.0,161.9,161.8,161.8,
161.7,161.9,161.9,158.7,145.5,127.5,109.3,91.1,76.1,57.7,
39.4,21.0,15.7,15.5,15.2,14.9,14.6,14.4,14.4,14.3,
14.2,14.2,14.2,14.1,14.1,14.2,14.3,14.4,14.4,14.5,
14.6,14.7,14.8,15.1,15.3,15.4,15.6,15.8,16.0,16.1,
16.2,16.3,16.4,16.5,16.6,16.7,16.9,17.2,17.4,17.8,
18.1,18.5,19.0,19.6,20.2,20.7,21.3,21.9,22.7,23.4,
24.0,24.7,25.5,26.3,27.1,27.8,28.6,29.4,30.2,31.0,
31.6,32.4,33.3,34.0,36.2,38.3,40.6,42.7,44.9,46.8,
48.7,50.7,51.3,52.2,52.9,53.6,54.4,55.2,55.9,56.7,
57.5,57.5,57.5,57.9,57.5,56.9,57.4,57.3,57.1,56.8,
56.4,56.4,57.2,56.7,56.6,57.9,57.4,57.4,57.4,57.4,
57.4,57.4,57.2,57.2,57.3,57.3,57.1,57.2,57.2,57.2,
57.2,57.2,57.2,57.2,57.2,57.1,57.1,57.0,56.9,57.0,
57.0,56.9,57.0,57.0,57.0,57.1,57.2,57.2,57.2,57.2,
57.2,57.4,57.5,57.4,57.4,57.4,56.6,57.5,58.4,71.4,
85.1,97.4,110.4,123.5,136.7,149.7,161.9,161.9,161.9,161.9,
161.9,161.9,161.9,161.9,161.9,161.9,161.9,162.0,162.0,162.0,
162.1,162.0,162.0,162.0,161.9,161.9,161.9,161.8,161.8,161.8,
161.8,161.8,161.8,161.9,161.9,161.9,162.0,162.0,162.1,162.1,
162.2,162.1,162.1,162.1,162.0,162.0,162.0,161.9,161.9,161.8,
161.8,161.8,161.8,161.7,161.7,161.7,161.7,161.7,161.7,161.6,
161.6,161.7,161.7,161.7,147.5,135.3,121.7,108.1,95.0,80.8,
66.1,54.2,52.5,54.8,57.3,69.5,83.1,83.4,96.5,111.2,
112.2,110.5,110.3,109.6,95.7,83.0,69.1,70.2,56.3,56.0,
54.8,56.0,56.0,55.6,55.6,55.4,55.4,55.1,55.1,55.1,
55.1,55.5,55.5,55.3,55.3,55.4,55.4,55.6,55.7,55.3,
56.8,56.6,56.7,57.1,57.2,57.9,71.7,84.2,87.0,89.0,
89.0,101.6,104.7,117.3,117.3,117.1,103.9,90.9,101.8,112.6,
100.2,87.1,84.8,71.7,71.0,71.0,71.0,71.0,59.1,57.9,
57.2,57.2,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,
57.1,57.0,56.3,57.2,57.2,57.2,57.2,57.9,57.0,57.0,
